item,Date,Machine,A,P,Q,OEE,Remark,color,Target,date2
335,2021-08-23,08W032,100,86.76,100,86.76,,#059918,85,2022-05-01
336,2021-08-23,45W021,100,96.55,100,96.55,,#059918,85,2022-05-02
337,2021-08-24,07W118,100,98.25,100,98.25,,#059918,85,2022-05-03
338,2021-08-24,08W015,100,96.23,100,96.23,,#059918,85,2022-05-04
339,2021-08-24,08W032,100,85.05,100,85.05,,#059918,85,2022-05-05
340,2021-08-24,45W021,100,95.37,100,95.37,,#059918,85,2022-05-06
341,2021-08-25,07W118,100,99.5,100,99.5,,#059918,85,2022-05-07
342,2021-08-25,08W015,100,92.64,100,92.64,,#059918,85,2022-05-08
343,2021-08-25,08W032,100,95.15,100,95.15,,#059918,85,2022-05-09
344,2021-08-25,45W021,100,92.86,100,92.86,,#059918,85,2022-05-10
345,2021-08-26,07W118,100,85.06,100,85.06,,#059918,85,2022-05-11
346,2021-08-26,08W015,100,89.93,100,89.93,,#059918,85,2022-05-12
347,2021-08-26,08W032,100,87.25,100,87.25,,#059918,85,2022-05-13
348,2021-08-26,45W021,100,91.54,100,91.54,,#059918,85,2022-05-14
349,2021-08-27,07W118,100,91.67,100,91.67,,#059918,85,2022-05-15
350,2021-08-27,08W015,100,99.03,100,99.03,,#059918,85,2022-05-16
351,2021-08-27,08W032,100,85.19,100,85.19,,#059918,85,2022-05-17
352,2021-08-27,45W021,100,95.19,100,95.19,,#059918,85,2022-05-18
353,2021-08-28,07W118,100,95.52,100,95.52,,#059918,85,2022-05-19
354,2021-08-28,08W015,100,98.54,100,98.54,,#059918,85,2022-05-20
355,2021-08-28,08W032,100,88.89,100,88.89,,#059918,85,2022-05-21
356,2021-08-28,45W021,100,90.55,100,90.55,,#059918,85,2022-05-22
357,2021-08-29,07W118,100,88.04,100,88.04,,#059918,85,2022-05-23
358,2021-08-29,08W015,100,98.99,100,98.99,,#059918,85,2022-05-24
359,2021-08-29,08W032,100,86.28,100,86.28,,#059918,85,2022-05-25
360,2021-08-29,45W021,100,94.52,100,94.52,,#059918,85,2022-05-26
361,2021-08-30,07W118,100,87,100,87,,#059918,85,2022-05-27
362,2021-08-30,08W015,100,89.57,100,89.57,,#059918,85,2022-05-28
363,2021-08-30,08W032,100,85.17,100,85.17,,#059918,85,2022-05-29
364,2021-08-30,45W021,100,96.52,100,96.52,,#059918,85,2022-05-30
365,2021-08-31,07W118,100,89.33,100,89.33,,#059918,85,2022-05-31
366,2021-08-31,08W015,100,85.69,100,85.69,,#059918,85,2022-06-01
367,2021-08-31,08W032,100,87.04,100,87.04,,#059918,85,2022-06-02
368,2021-08-31,45W021,100,95.47,100,95.47,,#059918,85,2022-06-03
369,2021-09-01,07W118,100,94.84,100,94.84,,#059918,85,2022-06-04
370,2021-09-01,08W015,100,92.5,100,92.5,,#059918,85,2022-06-05
371,2021-09-01,08W032,100,88.27,100,88.27,,#059918,85,2022-06-06
372,2021-09-01,45W021,100,98.4,100,98.4,,#059918,85,2022-06-07
373,2021-09-02,07W118,100,92,100,92,,#059918,85,2022-06-08
374,2021-09-02,08W015,100,79.4,100,79.4,เครื่องเรียงถุงเสีย,#ff0000,85,2022-06-09
375,2021-09-02,08W032,100,90.98,100,90.98,,#059918,85,2022-06-10
376,2021-09-02,45W021,100,97.83,100,97.83,,#059918,85,2022-06-11
377,2021-09-03,07W118,100,91.43,100,91.43,,#059918,85,2022-06-12
378,2021-09-03,08W015,100,89.81,100,89.81,,#059918,85,2022-06-13
379,2021-09-03,08W032,100,86.01,100,86.01,,#059918,85,2022-06-14
380,2021-09-03,45W021,100,92.1,100,92.1,,#059918,85,2022-06-15
381,2021-09-04,07W118,100,91.46,100,91.46,,#059918,85,2022-06-16
382,2021-09-04,08W015,100,90.87,100,90.87,,#059918,85,2022-06-17
383,2021-09-04,08W032,100,90.94,100,90.94,,#059918,85,2022-06-18
384,2021-09-04,45W021,100,92.65,100,92.65,,#059918,85,2022-06-19
385,2021-09-05,07W118,100,86.9,100,86.9,,#059918,85,2022-06-20
386,2021-09-05,08W015,100,86.42,100,86.42,,#059918,85,2022-06-21
387,2021-09-05,08W032,100,95.5,100,95.5,,#059918,85,2022-06-22
388,2021-09-05,45W021,100,93.62,100,93.62,,#059918,85,2022-06-23
389,2021-09-06,07W118,100,95,100,95,,#059918,85,2022-06-24
390,2021-09-06,08W015,100,96.16,100,96.16,,#059918,85,2022-06-25
391,2021-09-06,08W032,100,85.92,100,85.92,,#059918,85,2022-06-26
392,2021-09-06,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2022-06-27
393,2021-09-07,07W118,100,88.71,100,88.71,,#059918,85,2022-06-28
394,2021-09-07,08W015,100,89.62,100,89.62,,#059918,85,2022-06-29
395,2021-09-07,08W032,100,87.84,100,87.84,,#059918,85,2022-06-30
396,2021-09-07,45W021,100,90.96,100,90.96,,#059918,85,2022-07-01
397,2021-09-08,07W118,100,96.06,100,96.06,,#059918,85,2022-07-02
398,2021-09-08,08W015,100,85.17,100,85.17,,#059918,85,2022-07-03
399,2021-09-08,08W032,100,86.03,100,86.03,,#059918,85,2022-07-04
400,2021-09-08,45W021,100,95.2,100,95.2,,#059918,85,2022-07-05
401,2021-09-09,07W118,100,85.41,100,85.41,,#059918,85,2022-07-06
402,2021-09-09,08W015,100,94.71,100,94.71,,#059918,85,2022-07-07
403,2021-09-09,08W032,100,87.66,100,87.66,,#059918,85,2022-07-08
404,2021-09-09,45W021,100,96.68,100,96.68,,#059918,85,2022-07-09
405,2021-09-10,07W118,100,93.38,100,93.38,,#059918,85,2022-07-10
406,2021-09-10,08W015,100,94.31,100,94.31,,#059918,85,2022-07-11
407,2021-09-10,08W032,100,64.78,100,64.78,จักรเย็บไม่หยุด,#ff0000,85,2022-07-12
408,2021-09-10,45W021,100,98.86,100,98.86,,#059918,85,2022-07-13
409,2021-09-11,07W118,100,95.42,100,95.42,,#059918,85,2022-07-14
410,2021-09-11,08W015,100,99.09,100,99.09,,#059918,85,2022-07-15
411,2021-09-11,08W032,100,87.7,100,87.7,,#059918,85,2022-07-16
412,2021-09-11,45W021,100,99.09,100,99.09,,#059918,85,2022-07-17
413,2021-09-12,07W118,100,92.86,100,92.86,,#059918,85,2022-07-18
414,2021-09-12,08W015,100,93.21,100,93.21,,#059918,85,2022-07-19
415,2021-09-12,08W032,100,86.56,100,86.56,,#059918,85,2022-07-20
416,2021-09-12,45W021,100,99.39,100,99.39,,#059918,85,2022-07-21
417,2021-09-13,07W118,100,90.53,100,90.53,,#059918,85,2022-07-22
418,2021-09-13,08W015,100,85.6,100,85.6,,#059918,85,2022-07-23
419,2021-09-13,08W032,100,93.31,100,93.31,,#059918,85,2022-07-24
420,2021-09-13,45W021,100,97.03,100,97.03,,#059918,85,2022-07-25
421,2021-09-14,07W118,100,94.55,100,94.55,,#059918,85,2022-07-26
422,2021-09-14,08W015,100,93.8,100,93.8,,#059918,85,2022-07-27
423,2021-09-14,08W032,100,91.5,100,91.5,,#059918,85,2022-07-28
424,2021-09-14,45W021,100,97.56,100,97.56,,#059918,85,2022-07-29
425,2021-09-15,07W118,100,94.55,100,94.55,,#059918,85,2022-07-30
426,2021-09-15,08W015,100,93.8,100,93.8,,#059918,85,2022-07-31
427,2021-09-15,08W032,100,91.5,100,91.5,,#059918,85,2022-08-01
428,2021-09-15,45W021,100,97.56,100,97.56,,#059918,85,2022-08-02
429,2021-09-16,07W118,100,91.11,100,91.11,,#059918,85,2022-08-03
430,2021-09-16,08W015,100,97.55,100,97.55,,#059918,85,2022-08-04
431,2021-09-16,08W032,100,85.56,100,85.56,,#059918,85,2022-08-05
432,2021-09-16,45W021,100,97.75,100,97.75,,#059918,85,2022-08-06
433,2021-09-17,07W118,100,91.24,100,91.24,,#059918,85,2022-08-07
434,2021-09-17,08W015,100,85.89,100,85.89,,#059918,85,2022-08-08
435,2021-09-17,08W032,100,99.09,100,99.09,,#059918,85,2022-08-09
436,2021-09-17,45W021,100,98.32,100,98.32,,#059918,85,2022-08-10
437,2021-09-18,07W118,100,96.6,100,96.6,,#059918,85,2022-08-11
438,2021-09-18,08W015,100,85.38,100,85.38,,#059918,85,2022-08-12
439,2021-09-18,08W032,100,85.88,100,85.88,,#059918,85,2022-08-13
440,2021-09-18,45W021,100,93.53,100,93.53,,#059918,85,2022-08-14
441,2021-09-19,07W118,100,99.29,100,99.29,,#059918,85,2022-08-15
442,2021-09-19,08W015,100,86.67,100,86.67,,#059918,85,2022-08-16
443,2021-09-19,08W032,100,87.14,100,87.14,,#059918,85,2022-08-17
444,2021-09-19,45W021,100,92.77,100,92.77,,#059918,85,2022-08-18
445,2021-09-20,07W118,100,95.32,100,95.32,,#059918,85,2022-08-19
446,2021-09-20,08W015,100,90.44,100,90.44,,#059918,85,2022-08-20
447,2021-09-20,08W032,100,87.18,100,87.18,,#059918,85,2022-08-21
448,2021-09-20,45W021,100,90.98,100,90.98,,#059918,85,2022-08-22
449,2021-09-21,07W118,100,98.05,100,98.05,,#059918,85,2022-08-23
450,2021-09-21,08W015,100,89.8,100,89.8,,#059918,85,2022-08-24
451,2021-09-21,08W032,100,92.11,100,92.11,,#059918,85,2022-08-25
452,2021-09-21,45W021,100,99.65,100,99.65,,#059918,85,2022-08-26
453,2021-09-22,07W118,100,96,100,96,,#059918,85,2022-08-27
454,2021-09-22,08W015,100,86.02,100,86.02,,#059918,85,2022-08-28
455,2021-09-22,08W032,100,93.9,100,93.9,,#059918,85,2022-08-29
456,2021-09-22,45W021,100,99.07,100,99.07,,#059918,85,2022-08-30
457,2021-09-23,07W118,100,93.96,100,93.96,,#059918,85,2022-08-31
458,2021-09-23,08W015,100,87.26,100,87.26,,#059918,85,2022-09-01
459,2021-09-23,08W032,100,89.57,100,89.57,,#059918,85,2022-09-02
460,2021-09-23,45W021,100,92.21,100,92.21,,#059918,85,2022-09-03
461,2021-09-24,07W118,100,98.25,100,98.25,,#059918,85,2022-09-04
462,2021-09-24,08W015,100,91.18,100,91.18,,#059918,85,2022-09-05
463,2021-09-24,08W032,100,91.28,100,91.28,,#059918,85,2022-09-06
464,2021-09-24,45W021,100,96.18,100,96.18,,#059918,85,2022-09-07
465,2021-09-25,07W118,100,96.75,100,96.75,,#059918,85,2022-09-08
466,2021-09-25,08W015,100,85.1,100,85.1,,#059918,85,2022-09-09
467,2021-09-25,08W032,100,87.79,100,87.79,,#059918,85,2022-09-10
468,2021-09-25,45W021,100,95.06,100,95.06,,#059918,85,2022-09-11
469,2021-09-26,07W118,100,96.05,100,96.05,,#059918,85,2022-09-12
470,2021-09-26,08W015,100,87.08,100,87.08,,#059918,85,2022-09-13
471,2021-09-26,08W032,100,90.99,100,90.99,,#059918,85,2022-09-14
472,2021-09-26,45W021,100,97.68,100,97.68,,#059918,85,2022-09-15
473,2021-09-27,07W118,100,98.97,100,98.97,,#059918,85,2022-09-16
474,2021-09-27,08W015,100,95.21,100,95.21,,#059918,85,2022-09-17
475,2021-09-27,08W032,100,86.42,100,86.42,,#059918,85,2022-09-18
476,2021-09-27,45W021,100,94.04,100,94.04,,#059918,85,2022-09-19
477,2021-09-28,07W118,100,98.31,100,98.31,,#059918,85,2022-09-20
478,2021-09-28,08W015,100,95.85,100,95.85,,#059918,85,2022-09-21
479,2021-09-28,08W032,100,93.52,100,93.52,,#059918,85,2022-09-22
480,2021-09-28,45W021,100,93.02,100,93.02,,#059918,85,2022-09-23
481,2021-09-29,07W118,100,98.7,100,98.7,,#059918,85,2022-09-24
482,2021-09-29,08W015,100,98.39,100,98.39,,#059918,85,2022-09-25
483,2021-09-29,08W032,100,85.4,100,85.4,,#059918,85,2022-09-26
484,2021-09-29,45W021,100,98.44,100,98.44,,#059918,85,2022-09-27
485,2021-09-30,07W118,100,98.59,100,98.6,,#059918,85,2022-09-28
486,2021-09-30,08W015,100,91.82,100,91.82,,#059918,85,2022-09-29
487,2021-09-30,08W032,100,86.74,100,86.74,,#059918,85,2022-09-30
488,2021-09-30,45W021,100,95.08,100,95.08,,#059918,85,2022-10-01
