item,Date,Machine,A,P,Q,OEE,Remark,color,Target,date2
64,2021-06-16,45W021,100,67.66,100,67.66,N/A,#ff0000,85,2021-08-03
65,2021-06-17,07W118,100,41.6,100,41.6,N/A,#ff0000,85,2021-08-04
66,2021-06-17,08W015,100,76.92,100,76.92,N/A,#ff0000,85,2021-08-05
67,2021-06-17,08W032,100,88.28,100,88.28,,#059918,85,2021-08-06
68,2021-06-17,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-07
69,2021-06-18,07W118,100,48.07,100,48.07,N/A,#ff0000,85,2021-08-08
70,2021-06-18,08W015,100,84.09,100,84.09,N/A,#ff0000,85,2021-08-09
71,2021-06-18,08W032,100,70.32,100,70.32,N/A,#ff0000,85,2021-08-10
72,2021-06-18,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-11
73,2021-06-19,07W118,100,42.31,100,42.31,N/A,#ff0000,85,2021-08-12
74,2021-06-19,08W015,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-13
75,2021-06-19,08W032,100,90.39,100,90.39,,#059918,85,2021-08-14
76,2021-06-19,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-15
77,2021-06-20,07W118,100,62.5,100,62.5,N/A,#ff0000,85,2021-08-16
78,2021-06-20,08W015,100,96.15,100,96.15,,#059918,85,2021-08-17
79,2021-06-20,08W032,100,68.95,100,68.95,N/A,#ff0000,85,2021-08-18
80,2021-06-20,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-19
81,2021-06-21,07W118,100,88.13,100,88.13,,#059918,85,2021-08-20
82,2021-06-21,08W015,100,67.71,100,67.71,N/A,#ff0000,85,2021-08-21
83,2021-06-21,08W032,100,69.91,100,69.91,N/A,#ff0000,85,2021-08-22
84,2021-06-21,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-23
85,2021-06-22,07W118,100,78.38,100,78.38,N/A,#ff0000,85,2021-08-24
86,2021-06-22,08W015,100,99.54,100,99.54,,#059918,85,2021-08-25
87,2021-06-22,08W032,100,73.2,100,73.2,N/A,#ff0000,85,2021-08-26
88,2021-06-22,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-27
89,2021-06-23,07W118,100,72.29,100,72.29,N/A,#ff0000,85,2021-08-28
90,2021-06-23,08W015,100,71.25,100,71.25,N/A,#ff0000,85,2021-08-29
91,2021-06-23,08W032,100,75.87,100,75.87,N/A,#ff0000,85,2021-08-30
92,2021-06-23,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-08-31
93,2021-06-24,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-01
94,2021-06-24,08W015,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-02
95,2021-06-24,08W032,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-03
96,2021-06-24,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-04
97,2021-06-25,07W118,100,77.67,100,77.67,N/A,#ff0000,85,2021-09-05
98,2021-06-25,08W015,100,80.32,100,80.32,N/A,#ff0000,85,2021-09-06
99,2021-06-25,08W032,100,65.68,100,65.68,N/A,#ff0000,85,2021-09-07
100,2021-06-25,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-08
101,2021-06-26,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-09
102,2021-06-26,08W015,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-10
103,2021-06-26,08W032,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-11
104,2021-06-26,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-12
105,2021-06-27,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-13
106,2021-06-27,08W015,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-14
107,2021-06-27,08W032,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-15
108,2021-06-27,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-16
109,2021-06-28,07W118,100,25.3,100,25.3,N/A,#ff0000,85,2021-09-17
110,2021-06-28,08W015,100,65.22,100,65.22,N/A,#ff0000,85,2021-09-18
111,2021-06-28,08W032,100,32.37,100,32.37,N/A,#ff0000,85,2021-09-19
112,2021-06-28,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-20
113,2021-06-29,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-21
114,2021-06-29,08W015,100,71.72,100,71.72,N/A,#ff0000,85,2021-09-22
115,2021-06-29,08W032,100,76.28,100,76.28,N/A,#ff0000,85,2021-09-23
116,2021-06-29,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-24
117,2021-06-30,07W118,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-25
118,2021-06-30,08W015,100,67.14,100,67.14,N/A,#ff0000,85,2021-09-26
119,2021-06-30,08W032,100,93.81,100,93.81,,#059918,85,2021-09-27
120,2021-06-30,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-09-28
121,2021-07-01,07W118,100,49.22,100,49.22,N/A,#ff0000,85,2021-09-29
122,2021-07-01,08W015,100,76.97,100,76.97,N/A,#ff0000,85,2021-09-30
123,2021-07-01,08W032,100,67.08,100,67.08,N/A,#ff0000,85,2021-10-01
124,2021-07-01,45W021,100,100,100,100,,#059918,85,2021-10-02
125,2021-07-02,07W118,100,77.33,100,77.33,N/A,#ff0000,85,2021-10-03
126,2021-07-02,08W015,100,77.86,100,77.86,N/A,#ff0000,85,2021-10-04
127,2021-07-02,08W032,100,66.18,100,66.18,N/A,#ff0000,85,2021-10-05
128,2021-07-02,45W021,100,87.78,100,87.78,,#059918,85,2021-10-06
129,2021-07-03,07W118,100,76.55,100,76.55,N/A,#ff0000,85,2021-10-07
130,2021-07-03,08W015,100,97.44,100,97.44,,#059918,85,2021-10-08
131,2021-07-03,08W032,100,48.33,100,48.33,N/A,#ff0000,85,2021-10-09
132,2021-07-03,45W021,100,95.73,100,95.73,,#059918,85,2021-10-10
133,2021-07-04,07W118,100,65.61,100,65.61,N/A,#ff0000,85,2021-10-11
134,2021-07-04,08W015,100,84.86,100,84.86,N/A,#ff0000,85,2021-10-12
135,2021-07-04,08W032,100,78.05,100,78.05,N/A,#ff0000,85,2021-10-13
136,2021-07-04,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-10-14
137,2021-07-05,07W118,100,84.27,100,84.27,N/A,#ff0000,85,2021-10-15
138,2021-07-05,08W015,100,70.41,100,70.41,N/A,#ff0000,85,2021-10-16
139,2021-07-05,08W032,100,61.13,100,61.13,N/A,#ff0000,85,2021-10-17
140,2021-07-05,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-10-18
141,2021-07-06,07W118,100,84.61,100,84.61,N/A,#ff0000,85,2021-10-19
142,2021-07-06,08W015,100,88.9,100,88.9,,#059918,85,2021-10-20
143,2021-07-06,08W032,100,85.94,100,85.94,,#059918,85,2021-10-21
144,2021-07-06,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-10-22
145,2021-07-07,07W118,100,87.77,100,87.77,,#059918,85,2021-10-23
146,2021-07-07,08W015,100,90.1,100,90.1,,#059918,85,2021-10-24
147,2021-07-07,08W032,100,86.87,100,86.87,,#059918,85,2021-10-25
148,2021-07-07,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-10-26
149,2021-07-08,07W118,100,86.82,100,86.82,,#059918,85,2021-10-27
150,2021-07-08,08W015,100,92.83,100,92.83,,#059918,85,2021-10-28
151,2021-07-08,08W032,100,90.88,100,90.88,,#059918,85,2021-10-29
152,2021-07-08,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-10-30
153,2021-07-09,07W118,100,85.27,100,85.27,,#059918,85,2021-10-31
154,2021-07-09,08W015,100,68.84,100,68.84,N/A,#ff0000,85,2021-11-01
155,2021-07-09,08W032,100,75.12,100,75.12,N/A,#ff0000,85,2021-11-02
156,2021-07-09,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-03
157,2021-07-10,07W118,100,93.98,100,93.98,,#059918,85,2021-11-04
